Date,Portfolio Value
2019-04-29,67053.9533996582
2019-04-30,66985.11810302734
2019-05-01,66609.85313415527
2019-05-02,66429.81048583984
2019-05-03,67095.62492370605
2019-05-06,66876.31134033203
2019-05-07,65976.1888885498
2019-05-08,65864.06524658203
2019-05-09,65693.6685180664
2019-05-10,65906.12785339355
2019-05-13,64541.46667480469
2019-05-14,65019.07508850098
2019-05-15,65441.01150512695
2019-05-16,65870.01655578613
2019-05-17,65433.18183898926
2019-05-20,64932.65151977539
2019-05-21,65403.37814331054
2019-05-22,65228.088150024414
2019-05-23,64626.949615478516
2019-05-24,64712.33352661133
2019-05-28,64315.162658691406
2019-05-29,63955.389099121094
2019-05-30,64165.318756103516
2019-05-31,63573.537368774414
2019-06-03,63306.6487121582
2019-06-04,64451.57997131348
2019-06-05,64874.280853271484
2019-06-06,65230.73783874512
2019-06-07,65912.87094116211
2019-06-10,66179.64248657227
2019-06-11,66167.82890319824
2019-06-12,66070.8773803711
2019-06-13,66367.52098083496
2019-06-14,66252.1908569336
2019-06-17,66350.93406677246
2019-06-18,67008.57902526855
2019-06-19,67228.59100341797
2019-06-20,67898.10348510742
2019-06-21,67860.75317382812
2019-06-24,67873.20556640625
2019-06-25,67266.20864868164
2019-06-26,67203.27041625977
2019-06-27,67439.77279663086
2019-06-28,67702.77267456055
2019-07-01,68092.59353637695
2019-07-02,68403.13613891602
2019-07-03,68844.90615844727
2019-07-05,68664.40124511719
2019-07-08,68303.59359741211
2019-07-09,68443.99642944336
2019-07-10,68879.0478515625
2019-07-11,68865.67031860352
2019-07-12,69183.3935546875
2019-07-15,69243.58352661133
2019-07-16,68980.42755126953
2019-07-17,68774.87930297852
2019-07-18,69045.23361206055
2019-07-19,68607.38296508788
2019-07-22,68826.84280395508
2019-07-23,69153.67202758789
2019-07-24,69503.33251953125
2019-07-25,69108.63754272461
2019-07-26,69543.76388549805
2019-07-29,69462.09396362305
2019-07-30,69339.24179077148
2019-07-31,68621.67465209961
2019-08-01,68418.68087768555
2019-08-02,67886.3899230957
2019-08-05,66354.30053710938
2019-08-06,67137.5210571289
2019-08-07,67347.26547241211
2019-08-08,68434.37622070312
2019-08-09,67993.08731079102
2019-08-12,67463.93737792969
2019-08-13,68293.33862304688
2019-08-14,66808.89892578125
2019-08-15,66970.04852294922
2019-08-16,67697.57232666016
2019-08-19,68270.01419067383
2019-08-20,67939.87884521484
2019-08-21,68355.2311706543
2019-08-22,68256.1213684082
2019-08-23,66985.64025878906
2019-08-26,67596.27426147461
2019-08-27,67506.58920288086
2019-08-28,67806.36978149414
2019-08-29,68457.82165527344
2019-08-30,68388.03329467773
2019-09-03,68123.04504394531
2019-09-04,68815.87524414062
2019-09-05,69364.78012084961
2019-09-06,69322.21878051758
2019-09-09,69247.63641357422
2019-09-10,69108.6051940918
2019-09-11,69575.44967651367
2019-09-12,69766.81610107422
2019-09-13,69578.06701660156
2019-09-16,69482.97088623047
2019-09-17,69684.94247436523
2019-09-18,69654.81170654297
2019-09-19,69709.6841430664
2019-09-20,69483.13049316406
2019-09-23,69535.65002441406
2019-09-24,69080.55770874023
2019-09-25,69305.58166503906
2019-09-26,69169.80606079102
2019-09-27,68743.10165405273
2019-09-30,68957.5715637207
2019-10-01,68404.6012878418
2019-10-02,67590.32180786133
2019-10-03,68116.10626220703
2019-10-04,68854.14291381836
2019-10-07,68564.93255615234
2019-10-08,67804.59381103516
2019-10-09,68298.88168334961
2019-10-10,68578.83682250977
2019-10-11,69102.19863891602
2019-10-14,69101.083984375
2019-10-15,69603.53729248047
2019-10-16,69549.14764404297
2019-10-17,69718.89434814453
2019-10-18,69403.86840820312
2019-10-21,69745.22583007812
2019-10-22,69535.76126098633
2019-10-23,69688.79211425781
2019-10-24,69962.14935302734
2019-10-25,70245.26672363281
2019-10-28,70544.84268188477
2019-10-29,70399.1244506836
2019-10-30,70651.68731689453
2019-10-31,70650.95825195312
2019-11-01,71176.94137573242
2019-11-04,71385.3173828125
2019-11-05,71207.95455932617
2019-11-06,71221.74591064453
2019-11-07,71263.00964355469
2019-11-08,71377.38647460938
2019-11-11,71266.2826538086
2019-11-12,71415.23651123047
2019-11-13,71476.13571166992
