Date,Historical Loss
2021-01-28,-1194.9361551283564
2021-01-29,3150.799156028544
2021-02-01,-3236.4928113611422
2021-02-02,-2107.9000626241955
2021-02-03,155.43738115809884
2021-02-04,-1494.8769305689939
2021-02-05,-799.3327732080334
2021-02-08,-1375.1404327709065
2021-02-09,-2.066770202608598
2021-02-10,73.17366860313841
2021-02-11,-315.2463343918873
2021-02-12,-729.6257459299586
2021-02-16,593.3297901267252
2021-02-17,459.6689146441604
2021-02-18,749.0125645948066
2021-02-19,268.43258093834714
2021-02-22,2030.8225867776162
2021-02-23,111.6644997508562
2021-02-24,-1595.5645346158649
2021-02-25,4933.012579093542
2021-02-26,568.3105847624017
2021-03-01,-4149.28732096926
2021-03-02,1636.500255449517
2021-03-03,3193.8189638883723
2021-03-04,2512.184613262023
2021-03-05,-2744.3395787219774
2021-03-08,2211.2663536065593
2021-03-09,-3967.1394649575104
2021-03-10,-689.8324293369019
2021-03-11,-2348.930796181164
2021-03-12,346.3041264094389
2021-03-15,-1319.4038657309973
2021-03-16,-51.88003660753765
2021-03-17,-706.8370416660753
2021-03-18,3436.9812888543756
2021-03-19,-166.13365207267833
2021-03-22,-1746.6544083989909
2021-03-23,1287.3691040381057
2021-03-24,1433.954165311906
2021-03-25,-517.5124929618082
2021-03-26,-2540.708046719164
2021-03-29,436.30649089596744
2021-03-30,721.8051099714859
2021-03-31,-1518.790233457118
2021-04-01,-2367.886785305861
2021-04-05,-2459.8416836196643
2021-04-06,-122.99406866141486
2021-04-07,-113.99961048101721
2021-04-08,-1301.8182723848963
2021-04-09,-921.4995484291869
2021-04-12,130.4423825127942
2021-04-13,-1073.8530507022822
2021-04-14,1032.4125685745546
2021-04-15,-2282.5551926810044
2021-04-16,-450.8917001103571
2021-04-19,1120.5642487848818
2021-04-20,1158.176149617676
2021-04-21,-1741.3082946452091
2021-04-22,1670.34775501634
2021-04-23,-1816.0716188451363
2021-04-26,-646.8485718555899
2021-04-27,337.2742875990734
2021-04-28,143.48334193200398
2021-04-29,-715.4523278144268
2021-04-30,1116.1578334223293
2021-05-03,-165.935834538686
2021-05-04,1734.0259780983479
2021-05-05,73.62964006412025
2021-05-06,-1439.9030187910653
2021-05-07,-1404.0293101798668
2021-05-10,2412.483721807619
2021-05-11,1059.9061160754284
2021-05-12,3905.7315610503397
2021-05-13,-1778.5573027280927
2021-05-14,-3041.949146661699
2021-05-17,387.2425934198548
2021-05-18,1243.6267272058112
2021-05-19,249.83704987151432
2021-05-20,-2280.666747363084
2021-05-21,344.34094523296255
2021-05-24,-2005.2156157011104
2021-05-25,-2.518361784950777
2021-05-26,-413.1306086795101
2021-05-27,99.6533198540796
2021-05-28,-413.9469157654022
2021-06-01,264.76872142668066
2021-06-02,-363.8080069364687
2021-06-03,1320.8073439234158
2021-06-04,-2087.799636900829
2021-06-07,-160.4503707471933
2021-06-08,-90.52417182581233
2021-06-09,198.88211207458855
2021-06-10,-1134.2261067834322
2021-06-11,-164.77805877741744
2021-06-14,-564.0567165853892
2021-06-15,623.3521673757863
2021-06-16,1105.9976938808818
2021-06-17,-137.44159638651115
2021-06-18,1886.2232316418006
2021-06-21,-2009.73026536878
2021-06-22,-1034.6134300628132
2021-06-23,101.94039540125806
2021-06-24,-998.7978428310596
2021-06-25,-356.7591776691201
2021-06-28,-858.193518417724
2021-06-29,-72.05487035540462
2021-06-30,-69.81080355995664
2021-07-01,-679.5034189979925
2021-07-02,-1493.2209540364931
2021-07-06,-146.10072925730415
2021-07-07,-515.5003699900835
2021-07-08,1216.4669836678736
2021-07-09,-1548.256125208521
2021-07-12,-544.6319361507452
2021-07-13,482.3738671138518
2021-07-14,-380.5851909536085
2021-07-15,701.9855667390731
2021-07-16,1452.0735254385456
2021-07-19,1917.301188480164
2021-07-20,-2236.076000715007
2021-07-21,-1208.5952977395218
2021-07-22,-596.9507354250717
2021-07-23,-1662.2235944552544
2021-07-26,-250.5080588057663
2021-07-27,1041.1163853512455
2021-07-28,-315.85148312954726
2021-07-29,-702.7493544581596
2021-07-30,942.6243879504764
2021-08-02,183.450085811009
2021-08-03,-1169.6749780753769
2021-08-04,448.1280719662241
2021-08-05,-957.2049620109294
2021-08-06,523.2472450664833
2021-08-09,275.58161020490456
2021-08-10,171.26492252784422
